n = 114 | hv = [1287.9896533203305, 1287.9896533203305, 1287.9896533203305, 1287.9896533203305, 1287.9896533203305, 1524.9164112800263, 1548.2461392040664, 1580.1098195395527, 1589.5471882566628, 1597.2271480504858, 1600.510068350146, 1601.2498761109637, 1601.5016595606567]
pos,e_in,e_out,gd_wt,pitch,refl,pins,efpd,fdh,k_core,bu,feas
86,14.44,13.92,0.63,1.150,19.4,40,7605,1.5550,1.27859,75.9,1
87,14.69,14.14,0.46,1.273,8.4,40,9101,1.5921,1.33087,90.9,1
88,4.67,4.99,0.01,1.407,3.0,40,2838,1.5020,1.23238,28.3,1
89,14.44,13.92,2.79,1.150,19.5,40,7375,1.5632,1.21990,73.6,1
90,14.65,14.09,0.19,1.214,13.0,40,8535,1.5612,1.34353,85.2,1
91,5.73,6.04,0.00,1.430,2.3,40,3717,1.5241,1.28575,37.1,1
92,14.68,14.14,0.55,1.234,7.9,40,8820,1.5687,1.31328,88.0,1
93,14.60,14.08,0.38,1.176,16.2,40,8087,1.6002,1.30796,80.7,1
94,14.76,14.53,0.66,1.327,7.8,40,9675,1.5866,1.33076,96.6,1
95,14.81,14.28,0.44,1.293,10.5,40,9356,1.5745,1.33886,93.4,1
96,14.66,14.07,0.56,1.159,3.4,40,7750,1.6495,1.28422,77.4,1
97,14.55,14.02,0.20,1.151,6.9,40,7729,1.5699,1.31428,77.2,1
98,14.63,14.07,0.17,1.204,2.1,40,8356,1.6421,1.33905,83.4,1
99,14.86,14.49,0.51,1.338,2.1,40,9749,1.6042,1.34126,97.3,1
100,14.80,14.08,0.33,1.288,5.2,40,9232,1.5803,1.34624,92.2,1
101,14.53,13.90,1.51,1.150,13.2,40,7439,1.5564,1.24564,74.3,1
102,14.40,14.01,0.10,1.162,18.6,40,7904,1.5887,1.33888,78.9,1
103,14.49,14.16,0.23,1.214,15.5,40,8561,1.5635,1.33901,85.5,1
104,14.71,14.34,0.31,1.245,13.7,40,8975,1.5825,1.34027,89.6,1
105,14.85,14.43,0.44,1.318,9.2,40,9653,1.5764,1.34626,96.4,1
106,14.59,14.10,0.06,1.181,17.6,40,8122,1.6248,1.35909,81.1,0
107,3.99,3.84,0.00,1.430,2.0,40,1919,1.4317,1.17329,19.2,1
108,6.32,6.46,0.00,1.430,2.3,40,4107,1.5634,1.30992,41.0,1
109,5.11,5.64,0.00,1.429,2.3,40,3329,1.5353,1.27067,33.2,1
110,4.84,4.98,0.12,1.430,2.1,40,2855,1.4894,1.13427,28.5,1
111,14.49,13.83,0.38,1.287,11.1,40,9138,1.5690,1.33852,91.2,1
112,14.43,13.83,0.23,1.154,19.2,40,7677,1.5577,1.31137,76.6,1
113,14.67,14.10,0.53,1.305,9.9,40,9468,1.6081,1.33237,94.5,1
